,Citation Number,Date Issued,Time Issued,Location,District,Cited Person Sex,Cited Person Race,Cited Person Age,Offense Code,Offense Description,Officer Age,Officer Sex,Officer Race,Quarter,Year
45,   C10167,2019-01-13 00:00:00,19:19:00,N COLLEGE AVE & W 6TH ST,LB101,M,W,31,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,1,2019
46,   C10476,2019-02-24 00:00:00,15:34:00,W FOUNTAIN DR & W 8TH ST,LB521,F,W,36,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,1,2019
47,   C10476,2019-02-24 00:00:00,15:34:00,W FOUNTAIN DR & W 8TH ST,LB521,F,W,36,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,26,M,W,1,2019
48,   C10296,2019-01-29 00:00:00,00:23:00,S BANTA AVE & W COUNTRY CLUB DR,LB423,M,U,47,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,1,2019
49,   C10473,2019-02-22 00:00:00,17:04:00,W 10TH ST & N ADAMS ST,LB521,M,W,37,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,1,2019
50,   C10397,2019-02-03 00:00:00,03:45:00,E WYLIE FARM RD & S SWEETBRIAR DR,LB326,F,W,28,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,1,2019
51,   C10398,2019-02-07 00:00:00,01:28:00,S ROGERS ST & W COUNTRY CLUB DR,LB423,M,B,30,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,26,M,W,1,2019
52,   C10394,2019-02-08 00:00:00,00:19:00,E RHORER RD & S SARE RD,LMS15,F,W,25,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,26,M,W,1,2019
53,   C10395,2019-02-08 00:00:00,01:16:00,S HENDERSON ST & E HILLSIDE DR,LB314,M,B,37,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,1,2019
54,   C10764,2019-03-19 00:00:00,01:45:00,E 3RD ST & S BRYAN AVE,LB222,M,U,48,9-25-4-1,NO FINANCIAL RESPONSIBILITY,26,M,W,1,2019
55,   C10396,2019-02-08 00:00:00,01:57:00,S HENDERSON ST & E NORTH DR,LB315,M,W,37,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,1,2019
56,   C10747,2019-03-14 00:00:00,19:26:00,W 3RD ST & S GATES DR,LB403,F,W,56,9-19-10-2,FRONT SEAT PASSENGER RESTRAINT,26,M,W,1,2019
57,   C10744,2019-03-14 00:00:00,18:31:00,N SUMMIT ST & W CENTRAL ST,LB517,M,W,59,9-19-10-2,FRONT SEAT PASSENGER RESTRAINT,26,M,W,1,2019
58,   C10743,2019-03-14 00:00:00,17:49:00,N MAPLE ST & W 17TH ST,LB518,F,W,25,9-19-10-2,FRONT SEAT PASSENGER RESTRAINT,26,M,W,1,2019
59,   C10742,2019-03-14 00:00:00,16:59:00,W 3RD ST & S LIBERTY DR,LB403,F,W,37,9-19-10-2,FRONT SEAT PASSENGER RESTRAINT,26,M,W,1,2019
60,   C10481,2019-02-22 00:00:00,18:28:00,W 3RD ST & S HICKORY DR,LB402,F,W,59,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,1,2019
61,   C10146,2019-01-06 00:00:00,01:55:00,1331 N WASHINGTON ST,LB212,M,L,20,14.09.030,NOISE VIOLATION,26,M,W,1,2019
62,   C10145,2019-01-06 00:00:00,01:55:00,1331 N WASHINGTON ST,LB212,M,L,20,14.09.030,NOISE VIOLATION,26,M,W,1,2019
63,   C10697,2019-03-07 00:00:00,18:38:00,W STATE ROAD 45 46 BYPASS & N STATE ROAD 37 RAMP,LB509,M,W,27,9-19-10-2,FRONT SEAT PASSENGER RESTRAINT,26,M,W,1,2019
64,   C10696,2019-03-07 00:00:00,17:43:00,W STATE ROAD 45 46 BYPASS & N STATE ROAD 37 RAMP,LB509,M,W,45,9-19-10-2,FRONT SEAT PASSENGER RESTRAINT,26,M,W,1,2019
65,   C10695,2019-03-07 00:00:00,16:34:00,W VERNAL SR 37 OVERPASS; W VERNAL PIKE AND SR 37 OVERPASS,LB516,F,W,48,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,1,2019
66,   C10135,2019-01-06 00:00:00,01:55:00,1331 N WASHINGTON ST,LB212,M,L,21,14.09.030,NOISE VIOLATION,26,M,W,1,2019
67,   C10106,2019-01-06 00:00:00,22:07:00,S WALNUT ST & E WINSLOW RD,LB422,F,W,45,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,26,M,W,1,2019
68,   C10106,2019-01-06 00:00:00,22:07:00,S WALNUT ST & E WINSLOW RD,LB422,F,W,45,9-19-6-4,IMPROPER TAIL/LICENSE PLATE LI,26,M,W,1,2019
69,   C10125,2019-01-06 00:00:00,22:18:00,S HENDERSON ST & E WINSLOW RD,LB326,F,U,26,9-24-1-1,"LICENSES, CLASSES OF",26,M,W,1,2019
70,   C10409,2019-02-09 00:00:00,03:53:00,S ROGERS ST & W KIRKWOOD AVE,LB101,F,B,33,9-18.1-2-3,REGISTRATION AND DISPLAY OF REGISTRATION,26,M,W,1,2019
71,   C10645,2019-03-05 00:00:00,19:05:00,W VERNAL SR 37 OVERPASS; W VERNAL PIKE AND SR 37 OVERPASS,LB516,M,B,31,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,1,2019
72,   C10646,2019-03-05 00:00:00,18:49:00,W BLOOMFIELD RD & S STATE ROAD 37 RAMP,LB417,M,W,24,9-21-5-2,SPEED MAXIMUM,26,M,W,1,2019
73,   C10647,2019-03-05 00:00:00,05:05:00,W VERNAL SR 37 OVERPASS; W VERNAL PIKE AND SR 37 OVERPASS,LB516,M,W,49,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,1,2019
74,   C10581,2019-03-02 00:00:00,12:53:00,S ACADIA CT & E WINSLOW RD,LB326,M,B,25,9-21-8-2,LEFT OF CENTER,26,M,W,1,2019
75,   C10172,2019-01-11 00:00:00,11:05:00,525 S MADISON ST,LB103,M,W,22,14.09.030,NOISE VIOLATION,26,M,W,1,2019
76,   C10168,2019-01-11 00:00:00,22:50:00,S FESS AVE & E 2ND ST,LB302,M,B,25,9-18.1-11-5(a),FAILURE TO REGISTER,26,M,W,1,2019
77,   C10168,2019-01-11 00:00:00,22:50:00,S FESS AVE & E 2ND ST,LB302,M,B,25,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,26,M,W,1,2019
78,   C10637,2019-03-03 00:00:00,17:18:00,W FULLERTON SR 37 OVERPASS,LMS21,F,W,39,9-18.1-11-5(a),FAILURE TO REGISTER,26,M,W,1,2019
79,   C10169,2019-01-12 00:00:00,13:43:00,S WALNUT ST & E WINSLOW RD,LB422,M,U,30,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,1,2019
80,   C10638,2019-03-03 00:00:00,17:03:00,MILE MARKER 116 NB I69; ON I69 ROUTE,LB429,F,W,38,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,1,2019
81,   C10639,2019-03-03 00:00:00,16:37:00,MILE MARKER 118 NB I69; ON I69 ROUTE,LB404,M,W,47,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,M,W,1,2019
82,   C10165,2019-01-13 00:00:00,01:25:00,S WALNUT ST & E 1ST ST,LB410,M,W,29,9-24-19-1,DRIVING WHILE SUSPENDED,28,M,W,1,2019
83,   C10901,2019-03-28 00:00:00,09:22:00,W GRIMES LN & S MORTON,LB411,F,W,32,9-25-4-1,NO FINANCIAL RESPONSIBILITY,28,M,W,1,2019
84,   C10228,2019-01-22 00:00:00,22:59:00,S ROGERS ST & W WILSON ST,LB412,F,W,34,9-18-2-27,FALSE REGISTRATION,28,M,W,1,2019
85,   C10756,2019-03-18 00:00:00,02:02:00,S LINCOLN ST & E GRIMES LN,LB314,M,W,38,9-18-2-26,IMPROPER DISPLAY REG PLATE,28,M,W,1,2019
86,   C10339,2019-02-01 00:00:00,01:57:00,S WALNUT STREET PIKE & E WINSLOW RD,LB327,M,B,50,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,28,M,W,1,2019
87,   C10500,2019-02-18 00:00:00,23:42:00,E GRAHAM PL & S HENDERSON ST,LB327,F,W,20,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,28,M,W,1,2019
88,   C10500,2019-02-18 00:00:00,23:42:00,E GRAHAM PL & S HENDERSON ST,LB327,F,W,20,9-19-6-4,IMPROPER TAIL/LICENSE PLATE LI,28,M,W,1,2019
89,   C10231,2019-01-22 00:00:00,22:59:00,S ROGERS ST & W WILSON ST,LB412,F,W,34,9-18.1-11-5(a),FAILURE TO REGISTER,28,M,W,1,2019
90,   C10164,2019-01-12 00:00:00,00:34:00,S CURRY PIKE & W ROLL AVE,LB416,F,W,17,9-21-7-2,LIGHTS; TIME FOR DISPLAY; EXCEPTION,28,M,W,1,2019
91,   C10681,2019-03-09 00:00:00,22:28:00,S WALNUT ST & E 1ST ST,LB410,M,W,30,9-24-19-1,DRIVING WHILE SUSPENDED,28,M,W,1,2019
92,   C10365,2019-02-07 00:00:00,02:18:00,S ROGERS ST & S ROCKPORT RD,LB420,M,W,27,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,28,M,W,1,2019
93,   C10365,2019-02-07 00:00:00,02:18:00,S ROGERS ST & S ROCKPORT RD,LB420,M,W,27,9-19-6-4,IMPROPER TAIL/LICENSE PLATE LI,28,M,W,1,2019
94,   C10366,2019-02-07 00:00:00,04:55:00,W PATTERSON DR & S MORTON ST,LB411,M,W,30,9-21-8-25,"TURNS, SIGNALING",28,M,W,1,2019
95,   C10149,2019-01-10 00:00:00,02:02:00,W BLOOMFIELD & I69-37 OVERPASS,LB417,M,W,43,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,34,M,W,1,2019
96,   C10353,2019-02-03 00:00:00,00:52:00,N DUNN ST & E VARSITY LN,LIU07,M,W,28,9-24-19-1,DRIVING WHILE SUSPENDED,34,M,W,1,2019
97,   C10148,2019-01-10 00:00:00,02:02:00,W BLOOMFIELD & I69-37 OVERPASS,LB417,M,W,43,9-18.1-11-5(a),FAILURE TO REGISTER,34,M,W,1,2019
98,   C10437,2019-02-13 00:00:00,00:01:00,S ROGERS ST & W KIRKWOOD AVE,LB101,M,B,32,9-24-1-1,"LICENSES, CLASSES OF",34,M,W,1,2019
99,   C10437,2019-02-13 00:00:00,00:01:00,S ROGERS ST & W KIRKWOOD AVE,LB101,M,B,32,9-21-3-7,DISREGARDING AUTOMATIC SIGNAL,34,M,W,1,2019
100,   C10361,2019-02-05 00:00:00,16:48:00,S WALNUT ST & E GRIMES LN,LB411,F,W,86,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,F,B,1,2019
101,   C10292,2019-01-27 00:00:00,17:41:00,E ATWATER AVE & E 3RD ST,LB104,M,U,39,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,F,B,1,2019
102,   C10484,2019-02-21 00:00:00,15:06:00,W 3RD ST & S ROGERS ST,LB103,F,W,42,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,26,F,B,1,2019
103,   C10484,2019-02-21 00:00:00,15:06:00,W 3RD ST & S ROGERS ST,LB103,F,W,42,9-18.1-11-5(a),FAILURE TO REGISTER,26,F,B,1,2019
104,   C10484,2019-02-21 00:00:00,15:06:00,W 3RD ST & S ROGERS ST,LB103,F,W,42,9-24-13-3,POSSESSION & DISPLAY OF DL AND PERMIT REQUIRED,26,F,B,1,2019
105,   C10143,2019-01-09 00:00:00,21:17:00,S WASHINGTON ST & E 4TH ST,LB104,M,W,63,9-21-8-32,DISREGARDING STOP SIGN,26,F,B,1,2019
106,   C10211,2019-01-20 00:00:00,18:37:00,S WALNUT ST & E WINSLOW RD,LB422,F,U,21,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,F,B,1,2019
107,   C10652,2019-03-06 00:00:00,20:41:00,S PATTERSON DR & S ADAMS ST,LB406,M,S,21,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,F,B,1,2019
108,   C10050,2019-01-01 00:00:00,15:09:00,S COLLEGE MALL RD & E 3RD ST,LB221,F,U,22,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,F,B,1,2019
109,   C10819,2019-03-21 00:00:00,17:53:00,S BANTA AVE & W COUNTRY CLUB DR,LB423,M,W,36,9-24-19-1,DRIVING WHILE SUSPENDED,26,F,B,1,2019
110,   C10819,2019-03-21 00:00:00,17:53:00,S BANTA AVE & W COUNTRY CLUB DR,LB423,M,W,36,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,26,F,B,1,2019
111,   C10819,2019-03-21 00:00:00,17:53:00,S BANTA AVE & W COUNTRY CLUB DR,LB423,M,W,36,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,F,B,1,2019
112,   C10633,2019-03-03 00:00:00,17:19:00,N WALNUT ST & E 10TH ST,LB102,F,W,31,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,F,B,1,2019
113,   C10491,2019-02-17 00:00:00,16:58:00,S LINCOLN ST & E 3RD ST,LB104,M,U,26,9-21-3-7,DISREGARDING AUTOMATIC SIGNAL,26,F,B,1,2019
114,   C10693,2019-03-07 00:00:00,21:02:00,S PATTERSON DR & W 3RD ST,LB406,M,W,21,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,F,B,1,2019
115,   C10690,2019-03-07 00:00:00,15:50:00,S MITCHELL ST & E 2ND ST,LB303,F,B,50,9-24-19-1,DRIVING WHILE SUSPENDED,26,F,B,1,2019
116,   C10285,2019-01-25 00:00:00,16:59:00,S WASHINGTON ST & E 3RD ST,LB104,F,W,46,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,F,B,1,2019
117,   C10458,2019-02-17 00:00:00,14:44:00,E MORNINGSIDE DR & S SMITH RD,LB219,M,W,47,9-21-8-32,DISREGARDING STOP SIGN,26,F,B,1,2019
118,   C10911,2019-03-29 00:00:00,17:28:00,S GRANT ST & E 2ND ST,LB301,M,W,47,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,26,F,B,1,2019
119,   C10326,2019-01-16 00:00:00,19:50:00,E SMITHVILLE RD & S STATE ROAD 37,LMS02,M,W,19,9-21-5-6,EXCEEDING POSTED SPEED LIMIT,42,M,W,1,2019
120,   C10325,2019-01-16 00:00:00,19:50:00,E SMITHVILLE RD & S STATE ROAD 37,LMS02,M,W,40,9-21-5-6,EXCEEDING POSTED SPEED LIMIT,42,M,W,1,2019
121,   C10323,2019-01-09 00:00:00,20:25:00,S STATE ROAD 37 & S INTERSTATE 69,LMS21,M,W,32,9-24-19-1,DRIVING WHILE SUSPENDED,42,M,W,1,2019
122,   C10324,2019-01-09 00:00:00,17:48:00,W TAPP RD & INTERSTATE 69 RAMP,LMS27,F,W,34,9-21-5-2,SPEED MAXIMUM,42,M,W,1,2019
123,   C10130,2019-01-08 00:00:00,22:52:00,2601 N WALNUT ST,LB511,M,B,31,9-24-19-1,DRIVING WHILE SUSPENDED,47,M,W,1,2019
124,   C10406,2019-02-08 00:00:00,23:17:00,S DUNN ST & E KIRKWOOD AVE,LB102,F,W,19,5-16-9-5,HANDICAP PARKING,47,M,W,1,2019
125,   C10623,2019-03-05 00:00:00,22:47:00,2800 N WALNUT ST,LB208,M,W,19,9-21-5-2,SPEED MAXIMUM,47,M,W,1,2019
126,   C10403,2019-02-08 00:00:00,17:23:00,1501 S STRONG DR,LB412,M,U,61,9-18.1-11-2(b)(2),OPERATING WITH EXPIRED PLATES/IFC,28,M,W,1,2019
127,   C10289,2019-01-26 00:00:00,22:27:00,S HENDERSON ST & E BRENDA LN,LB314,F,W,49,9-18-2-7,EXPIRED LICENSE PLATES,38,M,W,1,2019
128,   C10210,2019-01-18 00:00:00,22:36:00,W TAPP RD & S ADAMS ST,LB424,M,U,30,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,38,M,W,1,2019
129,   C10150,2019-01-10 00:00:00,22:29:00,S CURRY PIKE & W GIFFORD RD,LMS29,M,W,28,9-19-6-3,NO OR IMPROPER HEADLIGHTS,38,M,W,1,2019
130,   C10137,2019-01-08 00:00:00,23:36:00,S ROGERS ST & S ROCKPORT RD,LB420,M,W,36,9-24-19-1,DRIVING WHILE SUSPENDED,38,M,W,1,2019
131,   C10147,2019-01-08 00:00:00,22:15:00,W SIERRA DR & S CURRY PIKE,LMS29,F,W,27,9-19-6-4,IMPROPER TAIL/LICENSE PLATE LI,38,M,W,1,2019
132,   C10748,2019-03-15 00:00:00,23:00:00,S WALNUT STREET PIKE & E WINSLOW RD,LB327,F,U,22,9-24-19-1,DRIVING WHILE SUSPENDED,38,M,W,1,2019
133,   C10748,2019-03-15 00:00:00,23:00:00,S WALNUT STREET PIKE & E WINSLOW RD,LB327,F,U,22,9-19-11-2,CHILD RESTRAINT UNDER 3 YEARS,38,M,W,1,2019
134,   C10089,2019-01-03 00:00:00,22:35:00,S CURRY PIKE & W 3RD ST,LB402,M,U,53,9-18-2-7,EXPIRED LICENSE PLATES,38,M,W,1,2019
135,   C10056,2019-01-03 00:00:00,01:26:00,CURRY PIKE & CONSTITUTION,LMS29,F,W,57,9-24-19-1,DRIVING WHILE SUSPENDED,38,M,W,1,2019
136,   C10654,2019-03-07 00:00:00,01:54:00,S HICKORY LEAF DR & W STATE ROAD 45,LB416,F,W,23,9-24-19-1,DRIVING WHILE SUSPENDED,38,M,W,1,2019
137,   C10625,2019-03-06 00:00:00,00:31:00,N CURRY PIKE & W JONATHAN DR,LMN09,M,W,23,9-24-19-1,DRIVING WHILE SUSPENDED,38,M,W,1,2019
138,   C10610,2019-03-05 00:00:00,23:24:00,W 3RD ST & S YANCY LN,LB404,F,B,24,9-19-6-3,NO OR IMPROPER HEADLIGHTS,38,M,W,1,2019
139,   C10582,2019-03-03 00:00:00,23:21:00,S FAIRVIEW ST & S PATTERSON DR,LB412,M,W,35,9-21-8-51,FAILURE TO DIM,38,M,W,1,2019
140,   C10513,2019-02-26 00:00:00,04:18:00,E MILLER DR & S WALNUT ST,LB421,F,W,54,9-18-2-27,FALSE REGISTRATION,38,M,W,1,2019
141,   C10518,2019-02-26 00:00:00,04:06:00,E MILLER DR & S WALNUT ST,LB421,F,W,54,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,38,M,W,1,2019
142,   C10138,2019-01-08 00:00:00,23:36:00,S ROGERS ST & S ROCKPORT RD,LB420,M,W,36,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,38,M,W,1,2019
