,content,toxic,severe_toxic,obscene,threat,insult,identity_hate
24,"If he knew where you were/seeing through walls fair enough, they're the people I've seen (but very rarely) who were the most obvious cheats. But people get accused of aimbot a lot who may just be really good at the game. Watch Shroud or DanUCD or other top streamers, spinning 180 and perfectly controlling full auto-sprays killing targets a long way off — I bet they get reported for aimbot a lot. Some people are just bloody good at the game. But seeing through walls is more obvious, I got killed by someone the other day who knew where I was despite me hiding — his username ffffffffo0_ — I checked, his K/D last season 100 games was 17+. Obvious cheater. But as I say, some people are just really good.",0.0,0.0,0.0,0.0,0.0,0.0
25,<:crate:590504090791051275>,0.0,0.0,0.0,0.0,0.0,0.0
26,!pclite <@!761867680810401812>,0.0,0.0,0.0,0.0,0.0,0.0
28,No solo ranked in SEA DED,0.0,0.0,0.0,0.0,0.0,0.0
29,whats pubg lite?,0.0,0.0,0.0,0.0,0.0,0.0
30,STILL waiting for the reasoning behind stats on Paramo not being recorded. And also why it’s in a separate queue.,0.0,0.0,0.0,0.0,0.0,0.0
31,"<@490548703208144906> you were given a response yesterday, along with being tagged. 
https://discord.com/channels/207018395139309569/207019048607678464/771681923810590730",0.0,0.0,0.0,0.0,0.0,0.0
32,"> <@490548703208144906> you were given a response yesterday, along with being tagged. 
> https://discord.com/channels/207018395139309569/207019048607678464/771681923810590730
<@!165746109837213697>  And this is EXACTLY why Discord doesn’t work. Unless you’re constantly sat reading every single ‘hello’ or ‘hi’, things are missed. Discord is a mess of unnecessary messages, bot accounts, and spam. And there’s still no console specific section for chat, so you have 2 platforms all intermingled. And that’s not including the constant PUBG lite and mobile posts!",0.0,0.0,0.0,0.0,0.0,0.0
33,"I'm sorry that you are having trouble with discord, but missing a tag can happen irrespective of how chat moves",0.0,0.0,0.0,0.0,0.0,0.0
34,We won't be bringing back the forums and things will remain as they are currently.,0.0,0.0,0.0,0.0,0.0,0.0
35,Please bring back pubg in INDIA<:pubgcd2:286295723547426826>,0.0,0.0,0.0,0.0,0.0,0.0
40,"> can i playing with xbox 
> while i'm on pc
<@315135093394112513> 
I don't think so.",0.0,0.0,0.0,0.0,0.0,0.0
41,But you can play cross platform between consoles.,0.0,0.0,0.0,0.0,0.0,0.0
42,"""Failure doesn't mean the game is over, it means try again with experience.""💯

Pardon the mistakes🙏
https://www.instagram.com/tv/CG_-UWYpUL2/?igshid=1acqtsyhczs0n",0.0,0.0,0.0,0.0,0.0,0.0
43,Please do support 🥺🙏,0.0,0.0,0.0,0.0,0.0,0.0
44,"<@!165746109837213697> can you add chat box in PUBG , even though voice chat doesn't work in some of countries. It would be helpful for us",0.0,0.0,0.0,0.0,0.0,0.0
45,"> <@!165746109837213697> please bring back the forums. I hate scrolling through the channels looking for I
<@665180616324808704>  

1000 percent agree ^^",0.0,0.0,0.0,0.0,0.0,0.0
46,hello i cant play pubg duo why?,0.0,0.0,0.0,0.0,0.0,0.0
47,https://1drv.ms/v/s!AiGL41vxEi69gRaTz_U1TCn0bNEh,0.0,0.0,0.0,0.0,0.0,0.0
48,Are you guys for serious with this?,0.0,0.0,0.0,0.0,0.0,0.0
49,Like this has to be some cruel prank,0.0,0.0,0.0,0.0,0.0,0.0
50,"I can't even play a duo game with my wife. Every time we get into a fight she hitches/freeze/lag. The last game we played, before she couldn't take it anymore, it did all the above and then got network lag detected. I'm on a One X and didn't have that issue in fights. She's on a One S.",0.0,0.0,0.0,0.0,0.0,0.0
51,"> I can't even play a duo game with my wife. Every time we get into a fight she hitches/freeze/lag. The last game we played, before she couldn't take it anymore, it did all the above and then got network lag detected. I'm on a One X and didn't have that issue in fights. She's on a One S.
<@409827982455078912>  wired or WiFi? And what kind of internet speeds are you getting?",0.0,0.0,0.0,0.0,0.0,0.0
52,https://tenor.com/view/confused-white-persian-guardian-why-gif-11908780,0.0,0.0,0.0,0.0,0.0,0.0
53,"> I’m going to ask again. Who’s bright idea was it to decide that stats for games on Paramo weren’t recorded? I mean, why?!? Also, by making one map in a separate queue to every other map, you’ve INCREASED queues 🤦🏼‍♂️ And why no solo or duos on the map?!? Genuinely, I question the intelligence of the people making these decisions. It’s absolutely preposterous that you think you’re improving things.
<@490548703208144906> 
Release of Paramo is an experimental way of doing seasonal content which is why it's in the separate queue we call labs. It was decided to be only released in squads because squads is the most played gamemode by far compared to others so it would have the least impact on splitting the playerbase/increasing queue times. Insulting others intelligence because you disagree on their decisions is not constructive. We welcome any and all feedback and read it all, but we do not welcome insulting or toxic behavior.",0.0,0.0,0.0,0.0,0.0,0.0
54,"> hey
<@756358498215919616> 이젠 미친놈이네...",0.0,0.0,0.0,0.0,0.0,0.0
55,"<@213002637107265537> I think it’s probably because AR’s are the norm in ranked, and there was a distinct lack of AR extended/extended quick draw mags. They’ll of had to reduce the spawn rate of something to accommodate this, and smg’s being much less used, it sort of makes sense.",0.0,0.0,0.0,0.0,0.0,0.0
56,What time will the update happen for consoles?,0.0,0.0,0.0,0.0,0.0,0.0
57,<@!707348665932447764> https://discord.com/channels/207018395139309569/390065258460348416/771018985649995776,0.0,0.0,0.0,0.0,0.0,0.0
58,Thank you,0.0,0.0,0.0,0.0,0.0,0.0
59,Whose tryna team up,0.0,0.0,0.0,0.0,0.0,0.0
60,Why im lagging when ever i open the door ?,0.0,0.0,0.0,0.0,0.0,0.0
61,<@770599459969040404> people have got better to control the recoil,0.0,0.0,0.0,0.0,0.0,0.0
62,<@!490548703208144906> <@!213002637107265537> https://www.theverge.com/2020/9/14/21435831/xbox-series-s-backward-compatibility-one-x-enhanced-mode,0.0,0.0,0.0,0.0,0.0,0.0
63,That’s pretty pathetic. I stick with the One X I think. First time in my 30+ years of gaming that I haven’t been excited for a next gen console.,0.0,0.0,0.0,0.0,0.0,0.0
64,"Well I’m a ps player, so my digital version will be as strong as the disc version",0.0,0.0,0.0,0.0,0.0,0.0
65,i got banned for doing nothing wrong,0.0,0.0,0.0,0.0,0.0,0.0
66,fuck this game,0.0,0.0,0.0,0.0,0.0,0.0
67,"If you feel you were incorrectly banned please submit an appeal on our support website:

https://support.pubg.com/hc/en-us",0.0,0.0,0.0,0.0,0.0,0.0
68,Sa türk varmi,0.0,0.0,0.0,0.0,0.0,0.0
69,"<@521043205060296725>  dont bother submitting a ticket it will just be ignored , been temp banned sinse they introduced the broken anti cheat been 3 weeks so far no support from the ""support"" just copy paste replies its really not worth your time .",0.0,0.0,0.0,0.0,0.0,0.0
70,"> <@490548703208144906> play solo when
<@490291669468708901>  there is currently no solo ranked (yes, I know it’s coming). Still doesn’t change the fact that the current restrictions on ranked squad are ridiculous. I can’t play WITH teammates who are Master tier, but I can be matched AGAINST them?!? Just another idiotic decision from the company 🤦🏼‍♂️ You’ll notice that one of the community managers has conveniently overlooked my post, as he often does too.",0.0,0.0,0.0,0.0,0.0,0.0
71,"yeah, I mean, i think we already knew it would run on the Series X with the 9.1 update. Sad that they basically announced it won't be optimized for the Series X/S",0.0,0.0,0.0,0.0,0.0,0.0
72,The series X running on PTS https://youtu.be/kwlBYQZbxs0,0.0,0.0,0.0,0.0,0.0,0.0
73,And no 60fps available on the Series S at launch?!?,0.0,0.0,0.0,0.0,0.0,0.0
74,Because it's not optimized for the X/S. They'll just be running the same old builds. the newly optimized One X build and the old Xbox S build. Although I am curious as to why the Series S can't run the One X build tbh.,0.0,0.0,0.0,0.0,0.0,0.0
75,we just start now normal match,0.0,0.0,0.0,0.0,0.0,0.0
76,left a few players in SOLO FPP and him got ban,0.0,0.0,0.0,0.0,0.0,0.0
78,I kill 7 player and got ban,0.0,0.0,0.0,0.0,0.0,0.0
79,stop cheating,0.0,0.0,0.0,0.0,0.0,0.0
80,When is ps4 and xbox pts server finished? What date and time (uk) please? Thanks,0.0,0.0,0.0,0.0,0.0,0.0
81,"hello guys my pubg account on steam is ban so i contacted the support and i did all the step that they gave me to do but they said that they need my username pubg but its been 1 years since i was ban so i dont rembember anymore my username pubg and when im in the game i cant see my username and it just show  that im ban on my screen 
 and i can go on the setting but its all that can do when im the game because im ban so can someone add me on steam so when your on the game you can see maybe my username thanks you",0.0,0.0,0.0,0.0,0.0,0.0
83,I suck so bad loool,0.0,0.0,0.0,0.0,0.0,0.0
84,The pts will end the 29 when it goes to live servers,0.0,0.0,0.0,0.0,0.0,0.0
85,steam charts,0.0,0.0,0.0,0.0,0.0,0.0
86,https://www.statista.com/statistics/755111/pubg-number-players/,0.0,0.0,0.0,0.0,0.0,0.0
87,https://steamcharts.com/app/578080,0.0,0.0,0.0,0.0,0.0,0.0
88,Are Xbox players going to be able to purchase the bloody nurse outfit?,0.0,0.0,0.0,0.0,0.0,0.0
89,console update yet anyone nothing here yet ...,0.0,0.0,0.0,0.0,0.0,0.0
90,"> <@!81228883214467072> 160K current players
<@!710179948270190662> Where can u see this",0.0,0.0,0.0,0.0,0.0,0.0
95,I’m new here,0.0,0.0,0.0,0.0,0.0,0.0
96,Somewhat new to the game my play time is about a day I’m looking for some tips,0.0,0.0,0.0,0.0,0.0,0.0
97,"XDDDD   Normal Match mode! ! Team of 6! ! ! Hahahaha
https://ibb.co/SrWGYs1",0.0,0.0,0.0,0.0,0.0,0.0
98,"Bruh I was on the new map, I was in a smoke, and my FPS dropped from 140 ish to 70-60",0.0,0.0,0.0,0.0,0.0,0.0
99,"> lmao pubg is now below 50k players rn
<@!81228883214467072> 160K current players",0.0,0.0,0.0,0.0,0.0,0.0
100,remember when this game was in the millions,0.0,0.0,0.0,0.0,0.0,0.0
101,"Think I've seen everything in this game now, a guy with Mk14 with 6x scope & full auto sprays down players far away with little to no recoil, kills a player through smoke that he can't see from a far away distance, then he proceeds to shoot down another player and thats when we start specate, and its NO recoil on the Mk14 and he aims literally 10 feet above the player but hits every shot and then randomly he start act like hes the shittiest at the game just to finish off with the crazy rage hack full auto 6x scope sprays again.. And the guy gets temporarily suspended until 26th october.. Fix your fucking anticheat. Temporary ban on blatant ragehack.. WTF.",0.0,0.0,0.0,0.0,0.0,0.0
102,https://www.youtube.com/watch?v=KPxGwIpJwLk&lc=UgxKVkX3qHt1nJ4Wqfd4AaABAg.9F60gVfJhSO9F64o7mqWp9 @everyone thank`s for the sapport n thank for watching,0.0,0.0,0.0,0.0,0.0,0.0
103,Hey anyone feel like playing with me,0.0,0.0,0.0,0.0,0.0,0.0
105,emulator chat,0.0,0.0,0.0,0.0,0.0,0.0
106,how to join emulator chat?,0.0,0.0,0.0,0.0,0.0,0.0
108,Still waitin for update on xbox I'm buying on pc next week annoyed lol,0.0,0.0,0.0,0.0,0.0,0.0
109,<@418495543870750740> it wouldbe kinda pointless on the pts.  It doesn't count and i want to play parmaro and try the frame test,0.0,0.0,0.0,0.0,0.0,0.0
110,New to the game anyone up for squads,0.0,0.0,0.0,0.0,0.0,0.0
111,yeah me too,0.0,0.0,0.0,0.0,0.0,0.0
112,https://tenor.com/view/swag-gaming-minecraft-meme-intro-gif-18313471,0.0,0.0,0.0,0.0,0.0,0.0
