,content,toxic,severe_toxic,obscene,threat,insult,identity_hate
98,Oh pog.,0,0,0,0,0,0
99,Not exactly how i'd build. But glad to see people already having success with the item I wanna try.,0,0,0,0,0,0
100,league ,0,0,0,0,0,0
101,question,0,0,0,0,0,0
102,I've done bad in urf and the second you get what you need you can all of a sudden do a reverse sweep.,0,0,0,0,0,0
103,Didn't even get to vote before it happened,0,0,0,0,0,0
104,Just due to their sheer kits and presence they have,0,0,0,0,0,0
105,In those roles.,0,0,0,0,0,0
106,"sometimes my adc makes me sad
",0,0,0,0,0,0
107,My 0/13 life as urf ww,0,0,0,0,0,0
108,In 12 mins,0,0,0,0,0,0
109,"Because better heals, better kit, better ult, and I still get to do damage.",0,0,0,0,0,0
110,maybe even lvl 3,0,0,0,0,0,0
111,kayle late game monster sometimes,0,0,0,0,0,0
112,hard comebacks,0,0,0,0,0,0
113,"saying kayle is worse than yuumi in top lane is yk, stretching a bit hard",0,0,0,0,0,0
114,"in a sustain front - yuumi is prob better 
but overall no",0,0,0,0,0,0
115,I prefer playing kayle support more than that stupid cat anyways.,0,0,0,0,0,0
116,lmao,0,0,0,0,0,0
117,learn to take a joke,0,0,0,0,0,0
118,TOP 0.1% popularity 33.3% win rate,1,0,0,0,0,0
119,chill,0,0,0,0,0,0
120,Hes deceptilvely tanky and does not give a hairy rats ass about CC.,0,0,0,0,0,0
121,He will just keep running through everything like the juggernaut he is until he gets to your ADC,0,0,0,0,0,0
122,Darius isn't classified as useless at certain points of the game either.,0,0,0,0,0,0
123,"Nasus is classified as useless at the start of the game, and then later on without stacks.",0,0,0,0,0,0
124,"When my partner goes down, is it worth it to try and stand my ground, or will I only give the enemy a free kill?",0,0,0,0,0,0
125,Love when I get competant teams like this,0,0,0,0,0,0
126,"I climb to diamond all the time across multiple regions, doing a LAN account right now
Trust me I know how to win games
",0,0,0,0,0,0
127, What you mean? Explain it better.,0,0,0,0,0,0
128,cringe,0,0,0,0,0,0
129,I will admit it took adc and I a bit of time to push them back enough for it to be safe,0,0,0,0,0,0
130,Question about playing support,0,0,0,0,0,0
131,22-Sep,0,0,0,0,0,0
132,that was the original nexon release of DFO,0,0,0,0,0,0
133,Dungeon Fighter Online,0,0,0,0,0,0
134,DFO always had some swag ass shit going for it. I wish I got the chance to get into it more.,0,0,0,0,0,0
135,"i found em, i found my original Magic Exo",0,0,0,0,0,0
136,Shes swag,0,0,0,0,0,0
137,NUD3$ club tag ,0,0,0,0,0,0
138,bigpapasmurf,0,0,0,0,0,0
139,I only lost once at 0 lp,0,0,0,0,0,0
140,rip Bulge club tag,0,0,0,0,0,0
141,never forget,0,0,0,0,0,0
142,This babe right here.,0,0,0,0,0,0
143,My mains were  magic exo and the brawler,0,0,0,0,0,0
144,have u guys seen the ew champion?,0,0,0,0,0,0
145,ruined king,0,0,0,0,0,0
146,oh,0,0,0,0,0,0
147,they just ffed to,0,0,0,0,0,0
148,welp back to gold 3 even though all i did this game was trade 1 for 1,0,0,0,0,0,0
149,I dislike games where I carry and my team feeds ;/,1,0,0,0,0,0
150,even it's a win,0,0,0,0,0,0
151,either modded or just plugins,0,0,0,0,0,0
152,lf top lanner flex,0,0,0,0,0,0
153,"Without spending cash, what's the best/quickest way to get to level 30?",0,0,0,0,0,0
154,Bored af,0,0,0,0,0,0
155,come play MINECRAFT with me,0,0,0,0,0,0
156,i got a rare drop,0,0,0,0,0,0
157,> two rows of hearts,0,0,0,0,0,0
158,if there isnt sue riot,0,0,0,0,0,0
159,"

 the shen was flaming the zed for throwing and being boosted and being paid to win trade ",0,0,0,0,0,0
160,Every single one of your messages takes away 2 years from my life,1,0,0,0,1,0
161,Playing NA with 300 ping is probably more cancer than eune,0,0,0,0,0,0
162, enjoy it while it lasts,0,0,0,0,0,0
163,like why is pyke working with miss fortune,0,0,0,0,0,0
164,"> but he has the sword tho
 the ruined king item in game and the sword looks different",0,0,0,0,0,0
165,HHHAHAHAHHAHAHAHAYAYAHAHHAHAHAHAHA,0,0,0,0,0,0
166,probably the prince or his right hand man,0,0,0,0,0,0
167,but he has the sword tho,0,0,0,0,0,0
168,where it says split 3 of 3 9D 4H 4M mean the time until the next season?,0,0,0,0,0,0
169,the ruined king is possessing the princes body,0,0,0,0,0,0
170,i dont think thats the ruined king anyways,0,0,0,0,0,0
171,why the fuck does he look like he's 20 and is in his late blunder years,0,0,0,0,0,0
172,everything other than the cg was good in the opening ceremony,0,0,0,0,0,0
173,Riot making som real layoffs on the 3d modeling division,0,0,0,0,0,0
174,because that isnt his actual body,0,0,0,0,0,0
175,bro what is that faceeeeeeeeee,0,0,0,0,0,0
176,"Wait, is that the opening ceremony??",0,0,0,0,0,0
177,pentakill band member ,0,0,0,0,0,0
178,POV: Yuumi getting ulted by Morde,0,0,0,0,0,0
179,How does katarina go against sylas,0,0,0,0,0,0
180,"Man I love LAN server, I don't speak spanish so I can pretend people aren't blaming the jungle for everything.",0,0,0,0,0,0
181,my god the stupidity of people,1,0,0,0,0,0
182,"asked him to build executioners and his main reason not building it was ""i wont do damage"" even tho he already had 4 items",0,0,0,0,0,0
183,Anyone know if you can use visa gift cards on league?,0,0,0,0,0,0
184,If I’m doing decent in intermediate bots should I play a game of quick play?,0,0,0,0,0,0
185,you mean blind pick?,0,0,0,0,0,0
186,LMAOO,0,0,0,0,0,0
187,why hasnt riot visually reworked vladimir yet if they rework visually viktor out of the blue,0,0,0,0,0,0
188,"Hot take, the collector is an item made specifically for farming and objective challenges",0,0,0,0,0,0
189,Wtf,0,0,0,0,0,0
190,LOL,0,0,0,0,0,0
191,pta trist or hob,0,0,0,0,0,0
192,I see HoB more,0,0,0,0,0,0
193,"> Yo Riot wtf 
 fuck brand he always deals the most damage for some reason EVERY GANE",1,0,0,0,0,0
194,"He was already busted and then Riot was like ""wait, we dont see him mid enough lets buff his damage""",0,0,0,0,0,0
195,And now hes giga broken in mid and support,0,0,0,0,0,0
196,lux support,0,0,0,0,0,0
197,bois theres a fucking electrical storm going on outside,0,0,0,0,0,0
198,Yo Riot wtf ,0,0,0,0,0,0
199,55% WR,0,0,0,0,0,0
200,i first got placed in b2 actually,0,0,0,0,0,0
