,date,open,high,low,close,volume
39,2018-02-28,179.26,180.62,178.05,178.12,37782138
40,2018-03-01,178.54,179.78,172.66,175.0,48801970
41,2018-03-02,172.8,176.3,172.45,176.21,38453950
42,2018-03-05,175.21,177.74,174.52,176.82,28401366
43,2018-03-06,177.91,178.25,176.13,176.67,23788506
44,2018-03-07,174.94,175.85,174.27,175.03,31703462
45,2018-03-08,175.48,177.12,175.07,176.94,23774107
46,2018-03-09,177.96,180.0,177.39,179.98,32185162
47,2018-03-12,180.29,182.39,180.21,181.72,32207081
48,2018-03-13,182.59,183.5,179.24,179.97,31693529
49,2018-03-14,180.32,180.52,177.81,178.44,29368356
50,2018-03-15,178.5,180.24,178.07,178.65,22743798
51,2018-03-16,178.65,179.12,177.62,178.02,39404688
52,2018-03-19,177.32,177.47,173.66,175.3,33446771
53,2018-03-20,175.24,176.8,174.94,175.24,19649350
54,2018-03-21,175.04,175.09,171.26,171.27,37054935
55,2018-03-22,170.0,172.68,168.6,168.85,41490767
56,2018-03-23,168.39,169.92,164.94,164.94,41028784
57,2018-03-26,168.07,173.1,166.44,172.77,37541236
58,2018-03-27,173.68,175.15,166.92,168.34,40922579
59,2018-03-28,167.25,170.02,165.19,166.48,41668545
60,2018-03-29,167.81,171.75,166.9,167.78,38398505
61,2018-04-02,167.88,168.94,164.47,166.68,37586791
62,2018-04-03,167.64,168.75,164.88,168.39,30278046
63,2018-04-04,164.88,172.01,164.77,171.61,34605489
64,2018-04-05,172.58,174.23,172.08,172.8,26933197
65,2018-04-06,170.97,172.48,168.2,168.38,35005290
66,2018-04-09,169.88,173.09,169.85,170.05,29017718
67,2018-04-10,173.0,174.0,171.53,173.25,28614241
68,2018-04-11,172.23,173.92,171.7,172.44,22431640
69,2018-04-12,173.41,175.0,173.04,174.14,22889285
70,2018-04-13,174.78,175.84,173.85,174.73,25124255
71,2018-04-16,175.03,176.19,174.83,175.82,21578420
72,2018-04-17,176.49,178.94,176.41,178.24,26605442
73,2018-04-18,177.81,178.82,176.88,177.84,20754538
74,2018-04-19,174.95,175.39,172.66,172.8,34808800
75,2018-04-20,170.6,171.22,165.43,165.72,65491140
76,2018-04-23,166.83,166.92,164.09,165.24,36515477
77,2018-04-24,165.67,166.33,161.22,162.94,33692017
78,2018-04-25,162.62,165.42,162.41,163.65,28382084
79,2018-04-26,164.12,165.73,163.37,164.22,27963014
80,2018-04-27,164.0,164.33,160.63,162.32,35655839
81,2018-04-30,162.13,167.26,161.84,165.26,42427424
82,2018-05-01,166.41,169.2,165.27,169.1,53569376
83,2018-05-02,175.23,177.75,173.8,176.57,66539371
84,2018-05-03,175.88,177.5,174.44,176.89,34068180
85,2018-05-04,178.25,184.25,178.17,183.83,56201317
86,2018-05-07,185.18,187.67,184.75,185.16,42451423
87,2018-05-08,184.99,186.22,183.67,186.05,28402777
88,2018-05-09,186.55,187.4,185.22,187.36,23211241
89,2018-05-10,187.74,190.37,187.65,190.04,27989289
90,2018-05-11,189.49,190.06,187.45,188.59,26212221
91,2018-05-14,189.01,189.53,187.86,188.15,20778772
92,2018-05-15,186.78,187.07,185.1,186.44,23695159
93,2018-05-16,186.07,188.46,186.0,188.18,19183064
94,2018-05-17,188.0,188.91,186.36,186.99,17294029
95,2018-05-18,187.19,187.81,186.13,186.31,18297728
96,2018-05-21,188.0,189.27,186.91,187.63,18400787
97,2018-05-22,188.38,188.88,186.78,187.16,15240704
98,2018-05-23,186.35,188.5,185.76,188.36,20058415
99,2018-05-24,188.77,188.84,186.21,188.15,23233975
100,2018-05-25,188.23,189.65,187.65,188.58,17460963
101,2018-05-29,187.6,188.75,186.87,187.9,22514075
102,2018-05-30,187.72,188.0,186.78,187.5,18690547
103,2018-05-31,187.22,188.23,186.14,186.87,27482793
104,2018-06-01,187.99,190.26,187.75,190.24,23442510
105,2018-06-04,191.64,193.42,191.35,191.83,26266174
106,2018-06-05,193.07,193.94,192.36,193.31,21565963
107,2018-06-06,193.63,194.08,191.92,193.98,20933619
108,2018-06-07,194.14,194.2,192.34,193.46,21347180
109,2018-06-08,191.17,192.0,189.77,191.7,26656799
110,2018-06-11,191.35,191.97,190.21,191.23,18308460
111,2018-06-12,191.39,192.61,191.15,192.28,16911141
112,2018-06-13,192.42,192.88,190.44,190.7,21638393
113,2018-06-14,191.55,191.57,190.22,190.8,21610074
114,2018-06-15,190.03,190.16,188.26,188.84,61719160
115,2018-06-18,187.88,189.22,187.2,188.74,18484865
116,2018-06-19,185.14,186.33,183.45,185.69,33578455
117,2018-06-20,186.35,187.2,185.73,186.5,20628701
118,2018-06-21,187.25,188.35,184.94,185.46,25711898
119,2018-06-22,186.12,186.15,184.7,184.92,27200447
120,2018-06-25,183.4,184.92,180.73,182.17,31663096
121,2018-06-26,182.99,186.53,182.54,184.43,24569201
122,2018-06-27,185.23,187.28,184.03,184.16,25285328
123,2018-06-28,184.1,186.21,183.8,185.5,17365235
124,2018-06-29,186.29,187.19,182.91,185.11,22737666
125,2018-07-02,183.82,187.3,183.42,187.18,17731343
126,2018-07-03,187.79,187.95,183.54,183.92,13954806
127,2018-07-05,185.26,186.41,184.28,185.4,16604248
128,2018-07-06,185.42,188.43,185.2,187.97,17485245
129,2018-07-09,189.5,190.68,189.3,190.58,19756634
130,2018-07-10,190.71,191.28,190.18,190.35,15939149
131,2018-07-11,188.5,189.78,187.61,187.88,18831470
132,2018-07-12,189.53,191.41,189.31,191.03,18041131
133,2018-07-13,191.08,191.84,190.9,191.33,12519792
134,2018-07-16,191.52,192.65,190.42,190.91,15043110
135,2018-07-17,189.75,191.87,189.2,191.45,15534523
136,2018-07-18,191.78,191.8,189.93,190.4,16393381
137,2018-07-19,189.69,192.55,189.69,191.88,20286752
138,2018-07-20,191.78,192.43,190.17,191.44,20706042
139,2018-07-23,190.68,191.96,189.56,191.61,15989365
140,2018-07-24,192.45,193.66,192.05,193.0,18697898
141,2018-07-25,193.06,194.85,192.43,194.82,16826483
142,2018-07-26,194.61,195.96,193.61,194.21,19075964
143,2018-07-27,194.99,195.19,190.1,190.98,24023972
144,2018-07-30,191.9,192.2,189.07,189.91,21029535
145,2018-07-31,190.3,192.14,189.34,190.29,39373038
146,2018-08-01,199.13,201.76,197.31,201.5,67935716
147,2018-08-02,200.58,208.38,200.35,207.39,62404012
148,2018-08-03,207.03,208.74,205.48,207.99,33447396
149,2018-08-06,208.0,209.25,207.07,209.07,25425387
150,2018-08-07,209.32,209.5,206.76,207.11,25587387
151,2018-08-08,206.05,207.81,204.52,207.25,22525487
152,2018-08-09,207.28,209.78,207.2,208.88,23492626
153,2018-08-10,207.36,209.1,206.67,207.53,24611202
154,2018-08-13,207.7,210.95,207.7,208.87,25890880
155,2018-08-14,210.16,210.56,208.26,209.75,20748010
156,2018-08-15,209.22,210.74,208.33,210.24,28807564
157,2018-08-16,211.75,213.81,211.47,213.32,28500367
158,2018-08-17,213.44,217.95,213.16,217.58,35426997
159,2018-08-20,218.1,219.18,215.11,215.46,30287695
160,2018-08-21,216.8,217.19,214.03,215.04,26159755
161,2018-08-22,214.1,216.36,213.84,215.05,19018131
162,2018-08-23,214.65,217.05,214.6,215.49,18883224
163,2018-08-24,216.6,216.9,215.11,216.16,18476356
164,2018-08-27,217.15,218.74,216.33,217.94,20525117
165,2018-08-28,219.01,220.54,218.92,219.7,22776766
166,2018-08-29,220.15,223.49,219.41,222.98,27254804
167,2018-08-30,223.25,228.26,222.4,225.03,48793824
168,2018-08-31,226.51,228.87,226.0,227.63,43340134
169,2018-09-04,228.41,229.18,226.63,228.36,27390132
170,2018-09-05,228.99,229.67,225.1,226.87,33332960
171,2018-09-06,226.23,227.35,221.3,223.1,34289976
172,2018-09-07,221.85,225.37,220.71,221.3,37619810
173,2018-09-10,220.95,221.85,216.47,218.33,39516453
174,2018-09-11,218.01,224.3,216.56,223.85,35749049
175,2018-09-12,224.94,225.0,219.84,221.07,49278740
176,2018-09-13,223.52,228.35,222.57,226.41,41706377
177,2018-09-14,225.75,226.84,222.52,223.84,31999289
178,2018-09-17,222.15,222.95,217.27,217.88,37195133
179,2018-09-18,217.79,221.85,217.12,218.24,31571712
180,2018-09-19,218.5,219.62,215.3,218.37,27123833
181,2018-09-20,220.24,222.28,219.15,220.03,26608794
182,2018-09-21,220.78,221.36,217.29,217.66,96246748
183,2018-09-24,216.82,221.26,216.63,220.79,27693358
184,2018-09-25,219.75,222.82,219.7,222.19,24554379
185,2018-09-26,221.0,223.75,219.76,220.42,23984706
186,2018-09-27,223.82,226.44,223.54,224.95,30181227
187,2018-09-28,224.79,225.84,224.02,225.74,22929364
188,2018-10-01,227.95,229.42,226.35,227.26,23600802
189,2018-10-02,227.25,230.0,226.63,229.28,24788170
190,2018-10-03,230.05,233.47,229.78,232.07,28654799
191,2018-10-04,230.78,232.35,226.73,227.99,32042000
192,2018-10-05,227.96,228.41,220.58,224.29,33580463
193,2018-10-08,222.21,224.8,220.2,223.77,29663923
194,2018-10-09,223.64,227.27,222.25,226.87,26891029
195,2018-10-10,225.46,226.35,216.05,216.36,41990554
196,2018-10-11,214.52,219.5,212.32,214.45,53124392
197,2018-10-12,220.42,222.88,216.84,222.11,40337851
198,2018-10-15,221.16,221.83,217.27,217.36,30791007
199,2018-10-16,218.93,222.99,216.76,222.15,29183963
200,2018-10-17,222.3,222.64,219.34,221.19,22885397
201,2018-10-18,217.86,219.74,213.0,216.02,32581315
202,2018-10-19,218.06,221.26,217.43,219.31,33078726
203,2018-10-22,219.79,223.36,218.94,220.65,28792082
204,2018-10-23,215.83,223.25,214.7,222.73,38767846
205,2018-10-24,222.6,224.23,214.54,215.09,40925163
206,2018-10-25,217.71,221.38,216.75,219.8,29855768
207,2018-10-26,215.9,220.19,212.67,216.3,47258375
208,2018-10-29,219.19,219.69,206.09,212.24,45935520
209,2018-10-30,211.15,215.18,209.27,213.3,36659990
210,2018-10-31,216.88,220.45,216.62,218.86,38358933
211,2018-11-01,219.05,222.36,216.81,222.22,58323180
212,2018-11-02,209.55,213.65,205.43,207.48,91328654
213,2018-11-05,204.3,204.39,198.17,201.59,66163669
214,2018-11-06,201.92,204.72,201.69,203.77,31882881
215,2018-11-07,205.97,210.06,204.13,209.95,33424434
216,2018-11-08,209.98,210.12,206.75,208.49,25362636
217,2018-11-09,205.55,206.01,202.25,204.47,34365750
218,2018-11-12,199.0,199.85,193.79,194.17,51135518
219,2018-11-13,191.63,197.18,191.45,192.23,46882936
220,2018-11-14,193.9,194.48,185.93,186.8,60800957
221,2018-11-15,188.39,191.97,186.9,191.41,46478801
222,2018-11-16,190.5,194.97,189.46,193.53,36928253
223,2018-11-19,190.0,190.7,184.99,185.86,41920872
224,2018-11-20,178.37,181.47,175.51,176.98,67825247
225,2018-11-21,179.73,180.27,176.55,176.78,31124210
226,2018-11-23,174.94,176.6,172.1,172.29,23623972
227,2018-11-26,174.24,174.95,170.26,174.62,44998520
228,2018-11-27,171.51,174.77,170.88,174.24,41387377
229,2018-11-28,176.73,181.29,174.93,180.94,46062539
230,2018-11-29,182.66,182.8,177.7,179.55,41769992
231,2018-11-30,180.29,180.33,177.03,178.58,39531549
232,2018-12-03,184.46,184.94,181.21,184.82,40798002
233,2018-12-04,180.95,182.39,176.27,176.69,41344282
234,2018-12-06,171.76,174.78,170.42,174.72,43098410
235,2018-12-07,173.49,174.49,168.3,168.49,42281631
236,2018-12-10,165.0,170.09,163.33,169.6,62025994
237,2018-12-11,171.66,171.79,167.0,168.63,47281665
238,2018-12-12,170.4,171.92,169.02,169.1,35627674
239,2018-12-13,170.49,172.57,169.55,170.95,31897827
240,2018-12-14,169.0,169.08,165.28,165.48,40703710
241,2018-12-17,165.45,168.35,162.73,163.94,44287922
242,2018-12-18,165.38,167.53,164.39,166.07,33841518
243,2018-12-19,166.0,167.45,159.09,160.89,49047297
244,2018-12-20,160.4,162.11,155.3,156.83,64772960
245,2018-12-21,156.86,158.16,149.63,150.73,95744384
246,2018-12-24,148.15,151.55,146.59,146.83,37169232
247,2018-12-26,148.3,157.23,146.72,157.17,58582544
248,2018-12-27,155.84,156.77,150.07,156.15,53117065
249,2018-12-28,157.5,158.52,154.55,156.23,42291424
250,2018-12-31,158.53,159.36,156.48,157.74,35003466
251,2019-01-02,154.89,158.85,154.23,157.92,37039737
252,2019-01-03,143.98,145.72,142.0,142.19,91312195
253,2019-01-04,144.53,148.55,143.8,148.26,58607070
254,2019-01-07,148.7,148.83,145.9,147.93,54777764
255,2019-01-08,149.56,151.82,148.52,150.75,41025314
256,2019-01-09,151.29,154.53,149.63,153.31,45099081
257,2019-01-10,152.5,153.97,150.86,153.8,35780670
258,2019-01-11,152.88,153.7,151.51,152.29,27023241
259,2019-01-14,150.85,151.27,149.22,150.0,32439186
260,2019-01-15,150.27,153.39,150.05,153.07,28710324
261,2019-01-16,153.08,155.88,153.0,154.94,30569706
262,2019-01-17,154.2,157.66,153.26,155.86,29821160
263,2019-01-18,157.5,157.88,155.98,156.82,33751023
264,2019-01-22,156.41,156.73,152.62,153.3,30393970
265,2019-01-23,154.15,155.14,151.7,153.92,23130570
266,2019-01-24,154.11,154.48,151.74,152.7,25441549
267,2019-01-25,155.48,158.13,154.32,157.76,33547893
268,2019-01-28,155.79,156.33,153.66,156.3,26192058
269,2019-01-29,156.25,158.13,154.11,154.68,41587239
270,2019-01-30,163.25,166.15,160.23,165.25,61109780
271,2019-01-31,166.11,169.0,164.56,166.44,40739649
272,2019-02-01,166.96,168.98,165.93,166.52,32668138
273,2019-02-04,167.41,171.66,167.28,171.25,31495582
274,2019-02-05,172.86,175.08,172.35,174.18,36101628
275,2019-02-06,174.65,175.57,172.85,174.24,28239591
276,2019-02-07,172.4,173.94,170.34,170.94,31741690
277,2019-02-08,168.99,170.66,168.42,170.41,23819966
278,2019-02-11,171.05,171.21,169.25,169.43,20993425
279,2019-02-12,170.1,171.0,169.7,170.89,22283523
280,2019-02-13,171.39,172.48,169.92,170.18,22490233
281,2019-02-14,169.71,171.26,169.38,170.8,21835747
282,2019-02-15,171.25,171.7,169.75,170.42,24626814
283,2019-02-19,169.71,171.44,169.49,170.93,18972826
284,2019-02-20,171.19,173.32,170.99,172.03,26114362
285,2019-02-21,171.8,172.37,170.3,171.06,17249670
286,2019-02-22,171.58,173.0,171.38,172.97,18913154
287,2019-02-25,174.16,175.87,173.95,174.23,21873358
288,2019-02-26,173.71,175.3,173.17,174.33,17070211
289,2019-02-27,173.21,175.0,172.73,174.87,27835389
290,2019-02-28,174.32,174.91,172.92,173.15,28215416
291,2019-03-01,174.28,175.15,172.89,174.97,25886167
292,2019-03-04,175.69,177.75,173.97,175.85,27436203
293,2019-03-05,175.94,176.0,174.54,175.53,19737419
294,2019-03-06,174.67,175.49,173.94,174.52,20810384
295,2019-03-07,173.87,174.44,172.02,172.5,24796374
296,2019-03-08,170.32,173.07,169.5,172.91,23999358
297,2019-03-11,175.49,179.12,175.35,178.9,32011034
298,2019-03-12,180.0,182.67,179.37,180.91,32467584
299,2019-03-13,182.25,183.3,180.92,181.71,31032524
300,2019-03-14,183.9,184.1,182.56,183.73,23579508
301,2019-03-15,184.85,187.33,183.74,186.12,39042912
302,2019-03-18,185.8,188.39,185.79,188.02,26219832
303,2019-03-19,188.35,188.99,185.92,186.53,31646369
304,2019-03-20,186.23,189.49,184.73,188.16,31035231
305,2019-03-21,190.02,196.33,189.81,195.09,51034237
306,2019-03-22,195.34,197.69,190.78,191.05,42407666
307,2019-03-25,191.51,191.98,186.6,188.74,43845293
308,2019-03-26,191.66,192.88,184.58,186.79,49800538
309,2019-03-27,188.75,189.76,186.55,188.47,29848427
310,2019-03-28,188.95,189.56,187.53,188.72,20780363
311,2019-03-29,189.83,190.08,188.54,189.95,23563961
312,2019-04-01,191.64,191.68,188.38,191.24,27861964
313,2019-04-02,191.09,194.46,191.05,194.02,22765732
314,2019-04-03,193.25,196.5,193.15,195.35,23271830
315,2019-04-04,194.79,196.37,193.14,195.69,19114275
316,2019-04-05,196.45,197.1,195.93,197.0,18526644
317,2019-04-08,196.42,200.23,196.34,200.1,25881697
318,2019-04-09,200.32,202.85,199.23,199.5,35768237
319,2019-04-10,198.68,200.74,198.18,200.62,21695288
320,2019-04-11,200.85,201.0,198.44,198.95,20900808
321,2019-04-12,199.2,200.14,196.21,198.87,27760668
322,2019-04-15,198.58,199.85,198.01,199.23,17536646
323,2019-04-16,199.46,201.37,198.56,199.25,25696385
324,2019-04-17,199.54,203.38,198.61,203.13,28906780
325,2019-04-18,203.12,204.15,202.52,203.86,24195766
326,2019-04-22,202.83,204.94,202.34,204.53,19439545
327,2019-04-23,204.43,207.75,203.9,207.48,23322991
328,2019-04-24,207.36,208.48,207.05,207.16,17540609
329,2019-04-25,206.83,207.76,205.12,205.28,18543206
330,2019-04-26,204.9,205.0,202.12,204.3,18649102
331,2019-04-29,204.4,205.97,203.86,204.61,22204716
332,2019-04-30,203.06,203.4,199.11,200.67,46534923
333,2019-05-01,209.88,215.31,209.23,210.52,64827328
334,2019-05-02,209.84,212.65,208.13,209.15,31996324
335,2019-05-03,210.89,211.84,210.23,211.75,20892378
336,2019-05-06,204.29,208.84,203.5,208.48,32443113
337,2019-05-07,205.88,207.42,200.83,202.86,38763698
338,2019-05-08,201.9,205.34,201.75,202.9,26339504
339,2019-05-09,200.4,201.68,196.66,200.72,34908607
340,2019-05-10,197.42,198.85,192.77,197.18,41208712
341,2019-05-13,187.71,189.48,182.85,185.72,57430623
342,2019-05-14,186.41,189.7,185.41,188.66,36529677
343,2019-05-15,186.27,191.75,186.02,190.92,26544718
344,2019-05-16,189.91,192.47,188.84,190.08,33031364
345,2019-05-17,186.93,190.9,186.76,189.0,32879090
346,2019-05-20,183.52,184.35,180.28,183.09,38612290
347,2019-05-21,185.22,188.0,184.7,186.6,28364848
348,2019-05-22,184.66,185.71,182.55,182.78,29748556
349,2019-05-23,179.8,180.54,177.81,179.66,36529736
350,2019-05-24,180.2,182.14,178.62,178.97,23714686
351,2019-05-28,178.92,180.59,177.91,178.23,27948160
352,2019-05-29,176.42,179.35,176.0,177.38,28481165
353,2019-05-30,177.95,179.23,176.67,178.3,21218412
354,2019-05-31,176.23,177.99,174.99,175.07,27043584
355,2019-06-03,175.6,177.92,170.27,173.3,40396069
356,2019-06-04,175.44,179.83,174.52,179.64,30967961
357,2019-06-05,184.28,184.99,181.14,182.54,29773427
358,2019-06-06,183.08,185.47,182.15,185.22,22526311
359,2019-06-07,186.51,191.92,185.77,190.15,30684393
360,2019-06-10,191.81,195.37,191.62,192.58,26220851
361,2019-06-11,194.86,196.0,193.6,194.81,26932882
362,2019-06-12,193.95,195.97,193.39,194.19,18253189
363,2019-06-13,194.7,196.79,193.6,194.15,21674625
364,2019-06-14,191.55,193.59,190.3,192.74,18761474
365,2019-06-17,192.9,194.96,192.17,193.89,14669144
366,2019-06-18,196.05,200.29,195.21,198.45,26551004
367,2019-06-19,199.68,199.88,197.31,197.87,21124235
368,2019-06-20,200.37,200.61,198.03,199.46,21513988
369,2019-06-21,198.8,200.85,198.15,198.78,47800589
370,2019-06-24,198.54,200.16,198.17,198.58,18220421
371,2019-06-25,198.43,199.26,195.29,195.57,21070334
372,2019-06-26,197.77,200.99,197.35,199.8,26067512
373,2019-06-27,200.29,201.57,199.57,199.74,20899717
374,2019-06-28,198.68,199.5,197.05,197.92,31110642
375,2019-07-01,203.17,204.49,200.65,201.55,27316739
376,2019-07-02,201.41,203.13,201.36,202.73,16935217
377,2019-07-03,203.28,204.44,202.69,204.41,11362045
378,2019-07-05,203.35,205.08,202.9,204.23,17265518
379,2019-07-08,200.81,201.4,198.41,200.02,25338628
380,2019-07-09,199.2,201.51,198.81,201.24,20578015
381,2019-07-10,201.85,203.73,201.56,203.23,17897138
382,2019-07-11,203.31,204.39,201.71,201.75,20191842
383,2019-07-12,202.45,204.0,202.2,203.3,17595212
384,2019-07-15,204.09,205.87,204.0,205.21,16947420
385,2019-07-16,204.59,206.11,203.5,204.5,16866816
386,2019-07-17,204.05,205.09,203.27,203.35,14107450
387,2019-07-18,204.0,205.88,203.7,205.66,18582161
388,2019-07-19,205.79,206.5,202.36,202.59,20929307
389,2019-07-22,203.65,207.23,203.61,207.22,22277932
390,2019-07-23,208.46,208.91,207.29,208.84,18355210
391,2019-07-24,207.67,209.15,207.17,208.67,14991567
392,2019-07-25,208.89,209.24,206.73,207.02,13909562
393,2019-07-26,207.48,209.73,207.14,207.74,17618874
394,2019-07-29,208.46,210.64,208.44,209.68,21673389
395,2019-07-30,208.76,210.16,207.31,208.78,33935718
396,2019-07-31,216.42,221.37,211.3,213.04,69281361
397,2019-08-01,213.9,218.03,206.74,208.43,54017922
398,2019-08-02,205.53,206.43,201.63,204.02,40862122
399,2019-08-05,197.99,198.65,192.58,193.34,52392969
400,2019-08-06,196.31,198.07,194.04,197.0,35824787
401,2019-08-07,195.41,199.56,193.82,199.04,33364400
402,2019-08-08,200.2,203.53,199.39,203.43,27009523
403,2019-08-09,201.3,202.76,199.29,200.99,24619746
404,2019-08-12,199.62,202.05,199.15,200.48,22481889
405,2019-08-13,201.02,212.14,200.83,208.97,47539786
406,2019-08-14,203.16,206.44,202.59,202.75,36547443
407,2019-08-15,203.46,205.14,199.67,201.74,27883363
408,2019-08-16,204.28,207.16,203.84,206.5,28813624
409,2019-08-19,210.62,212.73,210.03,210.35,24431915
410,2019-08-20,210.88,213.35,210.32,210.36,26919529
411,2019-08-21,212.99,213.65,211.6,212.64,21564747
412,2019-08-22,213.19,214.44,210.75,212.46,22267819
413,2019-08-23,209.43,212.05,201.0,202.64,46882843
414,2019-08-26,205.86,207.19,205.06,206.49,26066130
415,2019-08-27,207.86,208.55,203.53,204.16,25897344
416,2019-08-28,204.1,205.72,203.32,205.53,15957632
417,2019-08-29,208.5,209.32,206.66,209.01,21007652
418,2019-08-30,210.16,210.45,207.2,208.74,21162561
419,2019-09-03,206.43,206.98,204.22,205.7,20059574
420,2019-09-04,208.39,209.48,207.32,209.19,19216820
421,2019-09-05,212.0,213.97,211.51,213.28,23946984
422,2019-09-06,214.05,214.42,212.51,213.26,19362294
423,2019-09-09,214.84,216.44,211.07,214.17,27309401
424,2019-09-10,213.86,216.78,211.71,216.7,31777931
425,2019-09-11,218.07,223.71,217.73,223.59,44289646
426,2019-09-12,224.8,226.42,222.86,223.09,32226669
427,2019-09-13,220.0,220.79,217.02,218.75,39763296
428,2019-09-16,217.73,220.13,217.56,219.9,21158141
429,2019-09-17,219.96,220.82,219.12,220.7,18386468
430,2019-09-18,221.06,222.85,219.44,222.77,25643093
431,2019-09-19,222.01,223.76,220.37,220.96,22187876
432,2019-09-20,221.38,222.56,217.47,217.73,57977094
433,2019-09-23,218.95,219.84,217.65,218.72,19419648
434,2019-09-24,221.03,222.49,217.19,217.68,31434367
435,2019-09-25,218.55,221.5,217.14,221.03,22481006
436,2019-09-26,220.0,220.94,218.83,219.89,19088312
437,2019-09-27,220.54,220.96,217.28,218.82,25361285
438,2019-09-30,220.9,224.58,220.79,223.97,26318583
439,2019-10-01,225.07,228.22,224.2,224.59,36187163
440,2019-10-02,223.06,223.58,217.93,218.96,35767257
441,2019-10-03,218.43,220.96,215.13,220.82,30352686
442,2019-10-04,225.64,227.49,223.89,227.01,34755553
443,2019-10-07,226.27,229.93,225.84,227.06,30889269
444,2019-10-08,225.82,228.06,224.33,224.4,29282700
445,2019-10-09,227.03,227.79,225.64,227.03,19029424
446,2019-10-10,227.93,230.44,227.3,230.09,28962984
447,2019-10-11,232.95,237.64,232.31,236.21,41990210
448,2019-10-14,234.9,238.13,234.67,235.87,24413484
449,2019-10-15,236.39,237.65,234.88,235.32,23040483
450,2019-10-16,233.37,235.24,233.2,234.37,19286694
451,2019-10-17,235.09,236.15,233.52,235.28,17272897
452,2019-10-18,234.59,237.58,234.29,236.41,24377166
453,2019-10-21,237.52,240.99,237.32,240.51,22367483
454,2019-10-22,241.16,242.2,239.62,239.96,22684001
455,2019-10-23,242.1,243.24,241.22,243.18,19932545
456,2019-10-24,244.51,244.8,241.81,243.58,17916255
457,2019-10-25,243.16,246.73,242.88,246.58,18369296
458,2019-10-28,247.42,249.25,246.72,249.05,24143241
459,2019-10-29,248.97,249.75,242.57,243.29,35709867
460,2019-10-30,244.76,245.3,241.21,243.26,31130522
461,2019-10-31,247.24,249.17,237.26,248.76,34790520
462,2019-11-01,249.54,255.93,249.16,255.82,37781334
463,2019-11-04,257.33,257.85,255.38,257.5,25817952
464,2019-11-05,257.05,258.19,256.32,257.13,19974427
465,2019-11-06,256.77,257.49,255.37,257.24,18966124
466,2019-11-07,258.74,260.35,258.11,259.43,23735083
467,2019-11-08,258.69,260.44,256.85,260.14,17520495
468,2019-11-11,258.3,262.47,258.28,262.2,20507459
469,2019-11-12,261.55,262.79,260.92,261.96,21847226
470,2019-11-13,261.13,264.78,261.07,264.47,25817593
471,2019-11-14,263.75,264.88,262.1,262.64,22395556
472,2019-11-15,263.68,265.78,263.01,265.76,25093666
473,2019-11-18,265.8,267.43,264.23,267.1,21700897
474,2019-11-19,267.9,268.0,265.39,266.29,19069597
475,2019-11-20,265.54,266.08,260.4,263.19,26609919
476,2019-11-21,263.69,264.01,261.18,262.01,30348778
477,2019-11-22,262.59,263.18,260.84,261.78,16331263
478,2019-11-25,262.71,266.44,262.52,266.37,21029517
479,2019-11-26,266.94,267.16,262.5,264.29,26334882
480,2019-11-27,265.58,267.98,265.31,267.84,16386122
