,Event ,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic",Year
10,B19-00943,3,DISTURBANCE,TELEPHONE,2019-01-07 00:00:00,22:56:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,1.0,0.0,41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
11,B19-01345,2,DISTURBANCE,TELEPHONE,2019-01-10 00:00:00,02:07:00,YES,NO,NO,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,NO,NO,0.0,1.0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
12,B19-01426,1,DISTURBANCE,TELEPHONE,2019-01-10 00:00:00,18:59:00,YES,NO,NO,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,NO,NO,0.0,1.0,41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
13,B19-01549,3,ROBBERY,911,2019-01-11 00:00:00,20:45:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,23,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019
14,B19-01633,3,WELFARE CHECK,TELEPHONE,2019-01-11 00:00:00,23:09:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,31,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019
15,B19-01635,2,BURGLARY,911,2019-01-11 00:00:00,23:28:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
16,B19-01654,3,DISTURBANCE,911,2019-01-11 00:00:00,02:29:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019
17,B19-01766,4,WEAPONS,TELEPHONE,2019-01-13 00:00:00,00:07:00,NO,NO,YES,NO,NO,NO,UNKNOWN,YES,NO,INVOLVED,NO,NO,0.0,1.0,37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
18,B19-01766,4,WEAPONS,TELEPHONE,2019-01-13 00:00:00,00:07:00,NO,NO,YES,NO,NO,NO,UNKNOWN,YES,NO,INVOLVED,NO,NO,0.0,1.0,36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
19,B19-01878,5,WARRANT SERVICE,TELEPHONE,2019-01-14 00:00:00,02:33:00,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
20,B19-02039,3,TRAFFIC STOP,OFFICER REPORT,2019-01-15 00:00:00,03:34:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,0.0,1.0,39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
21,B19-02131,4,WELFARE CHECK,911,2019-01-15 00:00:00,20:42:00,YES,NO,NO,NO,NO,YES,MENTALLY DISTURBED,NO,NO,IMMEDIATE DETENTION,NO,NO,1.0,0.0,40,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019
22,B19-02174,3,SUSPICIOUS ACT,911,2019-01-16 00:00:00,04:00:00,YES,NO,YES,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,NO,NO,0.0,1.0,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
23,B19-02174,3,SUSPICIOUS ACT,911,2019-01-16 00:00:00,04:00:00,NO,NO,YES,NO,NO,NO,UNKNOWN,NO,NO,VICTIM,NO,NO,1.0,0.0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
24,B19-02329,1,ROBBERY,911,2019-01-17 00:00:00,02:28:00,YES,YES,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019
25,B19-02623,4,THEFT,911,2019-01-18 00:00:00,23:02:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
26,B19-02639,5,WARRANT SERVICE,911,2019-01-19 00:00:00,00:12:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
27,B19-02818,2,WARRANT SERVICE,TELEPHONE,2019-01-20 00:00:00,15:07:00,YES,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,0.0,1.0,25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
28,B19-03409,1,WELFARE CHECK,OFFICER REPORT,2019-01-25 00:00:00,02:17:00,YES,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
29,B19-03415,1,DRUNK,OFFICER REPORT,2019-01-25 00:00:00,03:13:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
30,B19-04264,5,WEAPONS,TELEPHONE,2019-01-31 00:00:00,11:38:00,NO,NO,YES,NO,NO,NO,UNKNOWN,YES,NO,ARRESTEE,NO,NO,0.0,1.0,36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
31,B19-04510,3,DOMESTIC ,OFFICER REPORT,2019-02-02 00:00:00,00:23:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,INVOLVED,NO,NO,0.0,1.0,39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
32,B19-04600,3,TRESPASS,TELEPHONE,2019-02-02 00:00:00,15:34:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1.0,0.0,57,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019
33,B19-04634,4,DOMESTIC,911,2019-02-02 00:00:00,19:47:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1.0,0.0,25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019
34,B19-04635,1,SUSPICIOUS ACT,911,2019-02-02 00:00:00,19:47:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1.0,0.0,37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
35,B19-04637,3,WELFARE CHECK,TELEPHONE,2019-02-02 00:00:00,20:05:00,YES,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
36,B19-04659,2,NOISE,TELEPHONE,2019-02-02 00:00:00,23:33:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
37,B19-04808,1,ATL,TELEPHONE,2019-02-04 00:00:00,06:26:00,YES,NO,YES,NO,NO,NO,MENTALLY DISTURBED,NO,NO,IMMEDIATE DETENTION,NO,NO,0.0,1.0,48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
38,B19-04980,3,DOMESTIC,911,2019-02-05 00:00:00,11:09:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
39,B19-05078,3,TRESPASS,TELEPHONE,2019-02-06 00:00:00,02:03:00,YES,NO,NO,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,NO,NO,0.0,1.0,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
40,B19-05160,1,WEAPONS,911,2019-02-06 00:00:00,17:22:00,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
41,B19-05465,5,DISTURBANCE,911,2019-02-08 00:00:00,16:01:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,1.0,0.0,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
42,B19-05611,3,DISTURBANCE,TELEPHONE,2019-02-09 00:00:00,16:24:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,IMMEDIATE DETENTION,NO,NO,1.0,0.0,14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
43,B19-05744,4,DOMESTIC,911,2019-02-10 00:00:00,20:00:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,IMMEDIATE DETENTION,NO,NO,0.0,1.0,24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019
44,B19-05807,3,SUSPICIOUS ACT,OFFICER REPORT,2019-02-10 00:00:00,23:30:00,YES,NO,NO,NO,NO,YES,NORMAL,NO,NO,JUVENILE REFERRAL,NO,NO,0.0,1.0,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
45,B19-05908,3,WEAPONS,TELEPHONE,2019-02-11 00:00:00,18:10:00,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,INVOLVED,NO,NO,0.0,1.0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
46,B19-05908,3,WEAPONS,TELEPHONE,2019-02-11 00:00:00,18:10:00,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,0.0,1.0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
47,B19-05908,3,WEAPONS,TELEPHONE,2019-02-11 00:00:00,18:10:00,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,INVOLVED,NO,NO,0.0,1.0,23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
48,B19-05956,5,WELFARE CHECK,TELEPHONE,2019-02-12 00:00:00,07:55:00,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,YES,NO,IMMEDIATE DETENTION,NO,NO,0.0,1.0,57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
49,B19-06018,4,SUSPICIOUS ACT,OFFICER REPORT,2019-02-12 00:00:00,17:27:00,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,JUVENILE REFERRAL,NO,NO,0.0,1.0,17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
50,B19-06372,4,DISTURBANCE,911,2019-02-15 00:00:00,09:24:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
51,B19-06375,4,VEHICLE THEFT,TELEPHONE,2019-02-15 00:00:00,10:10:00,YES,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
52,B19-06750,1,SUSPICIOUS ACT,OFFICER REPORT,2019-02-17 00:00:00,17:49:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,IMMEDIATE DETENTION,NO,NO,0.0,1.0,46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
53,B19-06750,4,WARRANT SERVICE,OFFICER REPORT,2019-02-17 00:00:00,19:01:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
54,B19-06782,3,SUSPICIOUS ACT,OFFICER REPORT,2019-02-17 00:00:00,23:36:00,YES,NO,NO,NO,NO,NO,NORMAL,YES,NO,INVOLVED,NO,NO,0.0,1.0,48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
55,B19-06936,3,SUSPICIOUS ACT,OFFICER REPORT,2019-02-19 00:00:00,02:19:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
56,B19-06936,3,SUSPICIOUS ACT,OFFICER REPORT,2019-02-19 00:00:00,02:19:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,1.0,0.0,37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
57,B19-06936,3,SUSPICIOUS ACT,OFFICER REPORT,2019-02-19 00:00:00,02:19:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1.0,0.0,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
58,B19-07129,3,ABUSE,TELEPHONE,2019-02-20 00:00:00,09:48:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1.0,0.0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
59,B19-07329,5,WARRANT SERVICE,911,2019-02-21 00:00:00,16:15:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
60,B19-07516,5,WARRANT SERVICE,TELEPHONE,2019-02-22 00:00:00,18:57:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
61,B19-07578,5,WEAPONS,911,2019-02-23 00:00:00,03:58:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
62,B19-07578,5,WEAPONS,911,2019-02-23 00:00:00,03:58:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,MENTIONED,NO,NO,0.0,1.0,42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
63,B19-07681,3,BURGLARY,911,2019-02-23 00:00:00,21:09:00,YES,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
64,B19-07743,1,FOLLOW UP,OFFICER REPORT,2019-02-24 00:00:00,05:00:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,OFFENDER- OTHER,NO,NO,0.0,1.0,35,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019
65,B19-07807,3,WELFARE CHECK,911,2019-02-24 00:00:00,18:48:00,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,YES,NO,INVOLVED,NO,NO,0.0,1.0,59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
66,B19-07928,5,DISTURBANCE,TELEPHONE,2019-02-25 00:00:00,17:19:00,YES,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
67,B19-08138,5,TRAFFIC STOP,OFFICER REPORT,2019-02-27 00:00:00,08:43:00,YES,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,MENTIONED,NO,NO,0.0,1.0,31,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019
68,B19-08160,1,DISTURBANCE,TELEPHONE,2019-02-27 00:00:00,11:52:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
69,B19-08361,5,DISTURBANCE,911,2019-02-28 00:00:00,20:05:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
70,B19-09109,4,TRESPASS,OFFICER REPORT,2019-03-05 00:00:00,10:07:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
71,B19-09194,4,TRAFFIC STOP,OFFICER REPORT,2019-03-05 00:00:00,20:35:00,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1.0,0.0,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
72,B19-09483,5,SERVICE ,911,2019-03-07 00:00:00,18:47:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,OFFENDER,NO,NO,1.0,0.0,22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
73,B19-09575,3,SUSPICIOUS ACT,OFFICER REPORT,2019-03-08 00:00:00,12:49:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
74,B19-10201,4,DISTURBANCE,911,2019-03-12 00:00:00,22:52:00,NO,NO,YES,NO,NO,NO,INTOXICATED,YES,NO,MENTIONED,NO,NO,0.0,1.0,41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
75,B19-10388,3,DOMESTIC,TELEPHONE,2019-03-14 00:00:00,11:18:00,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,YES,NO,JUVENILE REFERRAL,NO,NO,0.0,1.0,16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2019
76,B19-10415,5,ROBBERY,911,2019-03-14 00:00:00,16:01:00,NO,NO,YES,NO,NO,NO,UNKNOWN,YES,NO,ARRESTEE,NO,NO,0.0,1.0,36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
77,B19-10545,3,SUSPICIOUS ACT,OFFICER REPORT,2019-03-15 00:00:00,04:25:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,46,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019
78,B19-10712,3,THEFT,OFFICER REPORT,2019-03-16 00:00:00,16:14:00,YES,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,0.0,1.0,19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
79,B19-10741,4,FOLLOW UP,TELEPHONE,2019-03-16 00:00:00,21:58:00,YES,NO,YES,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,NO,NO,0.0,1.0,59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
80,B19-10770,5,SUSPICIOUS ACT,TELEPHONE,2019-03-17 00:00:00,02:46:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1.0,0.0,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
81,B19-10833,3,DRUGS,TELEPHONE,2019-03-17 00:00:00,18:53:00,NO,NO,YES,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
82,B19-11353,5,JUVENILE,TELEPHONE,2019-03-21 00:00:00,15:42:00,YES,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,OFFENDER,NO,NO,0.0,1.0,10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019
83,B19-11880,4,TRAFFIC STOP,OFFICER REPORT,2019-03-24 00:00:00,22:44:00,YES,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
84,B19-12161,3,WARRANT SERVICE,OFFICER REPORT,2019-03-26 00:00:00,22:51:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,47,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019
85,B19-12186,5,HARASSMENT,911,2019-03-27 00:00:00,03:29:00,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,0.0,1.0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
86,B19-12285,5,SERVICE ,TELEPHONE,2019-03-27 00:00:00,18:29:00,YES,NO,NO,NO,NO,NO,NORMAL,YES,NO,MENTIONED,NO,YES,0.0,1.0,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
87,B19-12428,3,THEFT,TELEPHONE,2019-03-28 00:00:00,16:15:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
88,B19-12514,1,WEAPONS,911,2019-03-29 00:00:00,01:59:00,NO,NO,NO,NO,NO,NO,INTOXICATED,YES,NO,OFFENDER,NO,NO,0.0,1.0,31,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019
89,B19-13093,4,DISTURBANCE,TELEPHONE,2019-04-02 00:00:00,14:06:00,NO,NO,YES,NO,NO,YES,MENTALLY DISTURBED,YES,NO,OFFENDER,NO,NO,0.0,1.0,24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
90,B19-13364,3,FIGHT,OFFICER REPORT,2019-04-04 00:00:00,13:26:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019
91,B19-13639,2,DISTURBANCE,911,2019-04-16 00:00:00,10:13:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,1.0,0.0,36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
92,B19-13883,3,FIGHT,911,2019-04-07 00:00:00,22:32:00,YES,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,0.0,1.0,28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
93,B19-15043,1,SUSPICIOUS ACT,OFFICER REPORT,2019-04-13 00:00:00,21:39:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019
94,B19-15124,1,DOMESTIC,911,2019-04-14 00:00:00,01:57:00,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,MENTIONED,NO,NO,0.0,1.0,26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
95,B19-15139,5,SUSPICIOUS ACT,OFFICER REPORT,2019-04-14 00:00:00,02:47:00,YES,NO,NO,NO,NO,NO,NORMAL,YES,YES,ARRESTEE,NO,NO,0.0,1.0,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019
96,B19-15221,5,WELFARE CHECK,TELEPHONE,2019-04-14 00:00:00,15:55:00,YES,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,0.0,1.0,31,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
97,B19-15325,5,DISTURBANCE,TELEPHONE,2019-04-15 00:00:00,13:50:00,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,YES,NO,ARRESTEE,NO,NO,0.0,1.0,29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019
